ID_hecho,AAAA,MM,VICTIMA
2020-0002,2020,1,MOTO
2020-0005,2020,1,MOTO
2020-0006,2020,1,MOTO
2020-0008,2020,1,MOTO
2020-0010,2020,2,MOTO
2020-0011,2020,2,MOTO
2020-0014,2020,2,MOTO
2020-0015,2020,2,MOTO
2020-0018,2020,3,MOTO
2020-0026,2020,5,MOTO
2020-0030,2020,6,MOTO
2020-0031,2020,6,MOTO
2020-0032,2020,7,MOTO
2020-0035,2020,8,MOTO
2020-0041,2020,9,MOTO
2020-0046,2020,10,MOTO
2020-0048,2020,10,MOTO
2020-0051,2020,11,MOTO
2020-0056,2020,11,MOTO
2020-0061,2020,12,MOTO
2020-0063,2020,12,MOTO
2020-0065,2020,12,MOTO
2020-0066,2020,12,MOTO
2020-0068,2020,12,MOTO
2020-0069,2020,12,MOTO
2020-0073,2020,12,MOTO
2020-0079,2020,12,MOTO
