AAAA,MM,ID_hecho
2021,1,2021-0001
2021,1,2021-0002
2021,1,2021-0003
2021,1,2021-0004
2021,1,2021-0005
2021,1,2021-0006
2021,1,2021-0007
2021,1,2021-0008
2021,1,2021-0009
2021,1,2021-0010
2021,1,2021-0011
2021,1,2021-0012
2021,1,2021-0013
2021,2,2021-0014
2021,2,2021-0015
2021,2,2021-0016
2021,2,2021-0017
2021,2,2021-0018
2021,2,2021-0019
2021,2,2021-0020
2021,2,2021-0021
2021,2,2021-0022
2021,3,2021-0023
2021,3,2021-0024
2021,3,2021-0025
2021,3,2021-0026
2021,3,2021-0027
2021,3,2021-0028
2021,3,2021-0029
2021,4,2021-0030
2021,4,2021-0031
2021,4,2021-0032
2021,4,2021-0033
2021,4,2021-0034
2021,5,2021-0035
2021,5,2021-0036
2021,5,2021-0037
2021,5,2021-0038
2021,5,2021-0039
2021,5,2021-0040
2021,5,2021-0041
2021,5,2021-0042
2021,5,2021-0043
2021,5,2021-0044
2021,5,2021-0045
2021,5,2021-0046
2021,6,2021-0047
2021,6,2021-0048
2021,6,2021-0049
2021,6,2021-0050
2021,6,2021-0051
2021,6,2021-0052
2021,6,2021-0053
2021,6,2021-0054
2021,6,2021-0055
