ID_hecho,AAAA,EDAD
2020-0001,2020,87
2020-0002,2020,36
2020-0003,2020,44
2020-0004,2020,82
2020-0007,2020,52
2020-0008,2020,49
2020-0009,2020,48
2020-0011,2020,31
2020-0012,2020,66
2020-0013,2020,58
2020-0016,2020,68
2020-0018,2020,31
2020-0019,2020,80
2020-0020,2020,74
2020-0021,2020,87
2020-0022,2020,44
2020-0023,2020,44
2020-0024,2020,53
2020-0027,2020,76
2020-0028,2020,91
2020-0029,2020,80
2020-0030,2020,40
2020-0033,2020,32
2020-0035,2020,40
2020-0036,2020,72
2020-0037,2020,38
2020-0038,2020,46
2020-0038,2020,64
2020-0039,2020,44
2020-0041,2020,34
2020-0042,2020,53
2020-0043,2020,64
2020-0044,2020,43
2020-0045,2020,50
2020-0046,2020,41
2020-0048,2020,41
2020-0049,2020,36
2020-0051,2020,49
2020-0052,2020,44
2020-0054,2020,59
2020-0055,2020,91
2020-0056,2020,34
2020-0057,2020,84
2020-0058,2020,57
2020-0059,2020,49
2020-0060,2020,69
2020-0061,2020,45
2020-0062,2020,47
2020-0063,2020,38
2020-0067,2020,51
2020-0068,2020,71
2020-0070,2020,81
2020-0072,2020,42
2020-0073,2020,56
2020-0074,2020,39
2020-0076,2020,78
2020-0077,2020,30
